"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Edman, Tommy","669242","96","15",41.7,"108.6","90.2","101.2","93.1","88.6","423","185","403","46",47.9,"10",10.4,8.2
"Chapman, Matt","656305","96","22",34.4,"110.7","94","103.3","96.2","97.9","418","192","399","51",53.1,"11",11.5,6.4
"Lux, Gavin","666158","96","8.5",38.5,"106.2","88.9","98.1","91.1","86.6","397","157","397","38",39.6,"5",5.2,3.3
"McCutchen, Andrew","457705","95","11.3",29.5,"110.2","89.1","99.7","95.2","85.1","417","161","406","40",42.1,"12",12.6,9
"Wells, Austin","669224","95","21.4",30.5,"111","90.6","101.7","93.9","88.6","412","193","367","44",46.3,"12",12.6,9
"Frazier, Adam","624428","94","15.6",31.9,"100.3","84.7","93.9","87.7","83","365","170","350","17",18.1,"0",0,0
"Ozuna, Marcell","542303","94","15.7",39.4,"110.8","92.2","103.4","97.6","84.9","443","184","414","47",50,"11",11.7,6.8
"Soler, Jorge","624585","93","16.8",36.6,"112.7","89.7","101.2","94.3","87.4","413","180","387","37",39.8,"12",12.9,8.1
"Espinal, Santiago","669289","93","13.2",36.6,"105.5","86.7","96.5","90","84.3","375","160",,"27",29,"1",1.1,0.9
"Scott II, Victor","687363","93","14.2",39.8,"106.6","87.7","97.7","90.6","85","396","172","396","30",32.3,"5",5.4,3.5
"Busch, Michael","683737","93","14.8",40.9,"107.8","89.6","99.8","92.6","84.7","411","190","391","39",41.9,"12",12.9,8
"Burleson, Alec","676475","93","15.7",24.7,"110.4","90.5","100.3","93.3","89.6","435","146","419","37",39.8,"3",3.2,2.5
"Smith, Josh","669701","92","9.8",33.7,"106.7","88.4","98.2","91.6","85.5","395","149","393","33",35.9,"6",6.5,4.6
"Arias, Gabriel","672356","92","3.5",29.3,"111.2","88.5","100.7","96.6","83.2","424","132","402","37",40.2,"9",9.8,6.5
"Lopez, Otto","672640","92","4.6",34.8,"109.9","85.7","96.6","89","82.2","418","146","402","24",26.1,"8",8.7,6.7
"Freeman, Freddie","518692","92","17",42.4,"111.6","93","101.6","94.1","91.7","418","205","408","43",46.7,"13",14.1,10.3
"Campbell, Kristian","692225","91","10.9",34.1,"112.2","89.1","100.7","96.7","82.7","431","157","387","38",41.8,"7",7.7,4.7
"Polanco, Jorge","593871","91","12.8",39.6,"110.5","91.9","102.7","95.9","89","423","174","394","46",50.5,"14",15.4,12.6
"Jung, Josh","673962","91","12.8",40.7,"108","87.9","99.9","95.5","82.1","418","172","386","34",37.4,"12",13.2,9.8
"Clement, Ernie","676391","91","22.6",42.9,"108.9","86.7","95.5","87.7","85.4","385","180",,"20",22,"3",3.3,2.6
"Henderson, Gunnar","683002","91","9.8",27.5,"113.3","94.9","104.7","96.5","95.8","400","153","394","51",56,"8",8.8,5.8
"Abrams, CJ","682928","90","16.2",37.8,"112.7","90.7","100.7","92.2","90.4","414","169","391","40",44.4,"10",11.1,8.1
"Doyle, Brenton","686668","90","12.6",37.8,"111.3","90","101.2","94","85.2","421","183","399","40",44.4,"13",14.4,9.8
"Meyers, Jake","676694","90","11",26.7,"107.9","90.2","100.9","93","89","409","151","398","38",42.2,"5",5.6,4
"Stowers, Kyle","669065","89","11.4",43.8,"110.3","90.2","103.2","94.7","84.9","423","175","404","43",48.3,"18",20.2,12.1
"Realmuto, J.T.","592663","89","13.1",38.2,"109.3","90.8","101.5","95","86.7","413","168","394","39",43.8,"10",11.2,7.2
"Hoskins, Rhys","656555","89","19.2",44.9,"111.1","91.4","101","95.2","85.7","440","186","398","44",49.4,"11",12.4,7.7
"Rice, Ben","700250","89","12.1",34.8,"113.2","93.6","104.7","98.4","90.1","419","167","389","51",57.3,"18",20.2,12.5
"Bell, Josh","605137","88","10.5",26.1,"110.5","87.6","99.8","96.1","80.8","400","155","389","34",38.6,"7",8,5.3
"Arozarena, Randy","668227","88","14.2",30.7,"112.3","91.8","103.5","96.1","92","424","151","395","44",50,"9",10.2,5.6
"Moniak, Mickey","666160","86","16.7",37.2,"108.1","89.5","100.6","93.4","84.2","429","186","401","39",45.3,"6",7,5
"Langford, Wyatt","694671","86","15.6",31.4,"110.7","89.8","100.8","95","83.5","431","171","386","37",43,"9",10.5,6.8
"McKinstry, Zach","656716","86","9.9",45.3,"108.7","87.3","97.6","92.9","82.8","379","156","377","31",36,"6",7,4.1
"Manzardo, Kyle","700932","85","19.9",30.6,"107.8","89.4","100.1","96.2","80.5","424","201","394","37",43.5,"13",15.3,9.2
"Aranda, Jonathan","666018","85","12.5",43.5,"111.4","94.2","103.7","94.8","94.2","409","176","383","51",60,"11",12.9,8.3
"Heim, Jonah","641680","85","14.8",34.1,"109.6","90.1","99.4","92.6","91.3","417","166","389","33",38.8,"5",5.9,4.2
"Cruz, Oneil","665833","85","11.5",36.5,"119.6","96.5","108.5","100.8","91.5","463","188","404","52",61.2,"19",22.4,11.9
"McMahon, Ryan","641857","85","17",29.4,"110.9","94.6","103","96.6","91.8","436","175","411","44",51.8,"12",14.1,7.5
"Toglia, Michael","669911","84","17.3",29.8,"109.6","89.5","101.2","94.1","85.1","457","181","424","35",41.7,"9",10.7,5.9
"Taylor, Tyrone","621438","84","19.9",40.5,"109.5","84.7","97.5","89.2","83.3","397","153","397","29",34.5,"3",3.6,2.6
"Young, Jacob","696285","84","-1.8",22.6,"106.8","87.4","97.6","88.2","87.4","350","95",,"25",29.8,"1",1.2,0.9
"Baldwin, Brooks","681460","84","10.5",32.1,"110","89.7","99.8","93.6","87.2","407","136","396","33",39.3,"5",6,4
"Farmer, Kyle","571657","84","13.9",36.9,"105.8","86","97","91.4","82.3","371","157",,"25",29.8,"2",2.4,1.8
"Thomas, Alek","677950","84","0.6",31,"109.4","92.8","101.5","97.9","89.9","417","127",,"36",42.9,"7",8.3,6
"Alvarez, Yordan","670541","84","20.1",40.5,"113.6","94","102.6","97.1","92.9","436","204","424","39",46.4,"10",11.9,8.3
"Isbel, Kyle","664728","83","14.6",21.7,"107.1","84.7","97.9","90.3","87.7","401","121","392","24",28.9,"3",3.6,2.9
"Springer, George","543807","83","19.4",42.2,"112.3","92.7","102.6","96.1","90.1","426","185","408","42",50.6,"15",18.1,10.5
"Wade Jr., LaMonte","664774","83","26.6",33.7,"107.6","89.2","97.4","91.5","86","388","207","364","24",28.9,"3",3.6,2.4
"Robert Jr., Luis","673357","83","18.3",30.1,"115.8","89.3","102.3","93.9","89.1","415","160","387","35",42.2,"10",12,6.6
"Jeffers, Ryan","680777","83","15.7",30.1,"110.4","89.7","101.1","94.5","84.9","412","187","409","38",45.8,"6",7.2,5
"Muncy, Max","571970","83","17.2",37.3,"109","88.7","100.8","94.2","80.6","433","181","433","37",44.6,"7",8.4,4.7
"Báez, Javier","595879","82","7",30.5,"108.4","87.8","98.5","91.8","84.5","421","150","384","29",35.4,"5",6.1,4.3
"Seager, Corey","608369","82","12.1",32.9,"112.4","93.3","104.4","95.8","90.3","427","185","390","41",50,"13",15.9,12.1
"O'Hearn, Ryan","656811","82","10.6",36.6,"109.4","91.1","100.9","94.8","88.1","396","159","385","43",52.4,"10",12.2,8.8
"Sheets, Gavin","657757","81","19",48.1,"110.1","93.3","102.1","98","85.7","439","205","399","46",56.8,"8",9.9,6.5
"Kiner-Falefa, Isiah","643396","81","8.2",37,"104.9","86.9","97.1","88.8","86.9","368","141",,"26",32.1,"0",0,0
"Iglesias, Jose","578428","80","-5",18.8,"109.5","83","95.1","86.6","82.3","351","81",,"20",25,"0",0,0
"Cabrera, Oswaldo","665828","80","8.5",31.3,"107.5","89.7","98","90.9","89.4","382","135","382","29",36.3,"0",0,0
"Smith, Will","669257","80","22.8",41.3,"107.7","91.4","100.9","94.1","87.8","419","211","395","40",50,"11",13.8,8.5
"Moreno, Gabriel","672515","80","11.1",38.8,"105.6","92.2","99.6","93","92.4","396","160","377","38",47.5,"2",2.5,1.8
"Holliday, Jackson","702616","80","9",37.5,"109.6","90.5","100.9","92.5","89","425","159","404","35",43.8,"6",7.5,4.9
"Acuña, Luisangel","682668","80","5.2",33.8,"110.3","88.5","99.5","88.8","89.6","334","124",,"29",36.3,"0",0,0
"Grisham, Trent","663757","78","21.4",33.3,"109.4","91.7","100.2","95.5","86.5","412","200","383","37",47.4,"12",15.4,10.7
"O'Hoppe, Logan","681351","78","20.5",39.7,"111.1","91","102.2","94.9","86.9","417","205","399","39",50,"14",17.9,10.9
"Walker, Jordan","691023","78","12.1",29.5,"116.5","90.9","101.8","92.4","92.4","419","156","407","34",43.6,"4",5.1,3.1
"Keith, Colt","690993","78","7.2",35.9,"109.6","86.2","99","94.5","78","450","164","412","27",34.6,"7",9,5.7
"Urshela, Gio","570482","77","10.4",45.5,"107","86.9","97","92.1","82.9","399","156",,"23",29.9,"1",1.3,1
"Conforto, Michael","624424","77","11",32.5,"110.9","89.9","100.1","92.2","88.6","419","156","408","34",44.2,"6",7.8,4.3
"Trevino, Jose","624431","77","4.9",29.9,"107.9","88.9","100.4","94.5","85.5","409","138","388","35",45.5,"5",6.5,5.3
"Pederson, Joc","592626","77","16.1",24.7,"111.7","91.4","100.7","95.4","90","401","157","401","32",41.6,"7",9.1,6.1
"Bader, Harrison","664056","76","10.8",30.3,"109.8","87.8","100.6","95.4","84.4","408","145","384","36",47.4,"8",10.5,6.7
"Martínez, Angel","682657","76","14.2",26.3,"107.4","88","98.2","91","88.4","385","141","364","26",34.2,"2",2.6,2.2
"Allen, Nick","669397","76","11.7",34.2,"104.4","84.9","95.3","87.4","85.1","382","124",,"21",28,"0",0,0
"Pagés, Pedro","686780","76","15.6",32.9,"108.7","88.8","99.3","91.1","86.5","399","168","387","28",36.8,"4",5.3,3.8
"McLain, Matt","680574","76","17.7",32.9,"109.9","90.6","100.8","95.5","83.1","414","198","398","36",47.4,"9",11.8,6.2
"Domínguez, Jasson","691176","76","16.3",30.3,"111.9","89.8","102.2","93.4","90.6","445","179","408","41",53.9,"7",9.2,5.2
"Pham, Tommy","502054","75","2.6",28,"109.9","88.8","100.3","93.4","87.5","386","114",,"29",38.7,"2",2.7,1.6
"Adell, Jo","666176","75","13.5",32,"111.7","89.9","102","92.5","89.5","435","161","409","34",45.3,"11",14.7,9.7
"Dingler, Dillon","693307","75","14.9",40,"110.4","89.9","101.2","94.2","83.3","410","180","399","35",46.7,"7",9.3,6.4
